day,date,game,type,player 1,score 1,player 2,score 2,yt link,timestamp
MAR10 Day,2024.03.10,tetris,sfn,Zazrak,2,Daniörmester,1,,
MAR10 Day,2024.03.10,tetris,sfn,Lanre,2,TomyMontana,0,https://www.youtube.com/watch?v=jeWAxqJH29w,0
MAR10 Day,2024.03.10,tetris,brz,Daniörmester,1,TomyMontana,2,https://www.youtube.com/watch?v=jeWAxqJH29w,180
MAR10 Day,2024.03.10,tetris,fnl,Zazrak,2,Lanre,1,https://www.youtube.com/watch?v=jeWAxqJH29w,588
MAR10 Day,2024.03.10,wow,sfn,Lanre,2,Bucky,0,https://www.youtube.com/watch?v=jeWAxqJH29w,1609
MAR10 Day,2024.03.10,wow,sfn,Dester,2,Hurka,0,https://www.youtube.com/watch?v=jeWAxqJH29w,1933
MAR10 Day,2024.03.10,wow,brz,Bucky,1,Hurka,2,https://www.youtube.com/watch?v=jeWAxqJH29w,2222
MAR10 Day,2024.03.10,wow,fnl,Lanre,2,Dester,1,https://www.youtube.com/watch?v=jeWAxqJH29w,2686
A NYÁK napja,2024.05.05,tetris,sfn,Eni,1,Lanre,2,https://www.youtube.com/watch?v=0-WJ8DMTV4I,808
A NYÁK napja,2024.05.05,tetris,sfn,Zazrak,2,Bárdió,0,https://www.youtube.com/watch?v=0-WJ8DMTV4I,1279
A NYÁK napja,2024.05.05,tetris,brz,Eni,2,Bárdió,1,https://www.youtube.com/watch?v=0-WJ8DMTV4I,1574
A NYÁK napja,2024.05.05,tetris,fnl,Lanre,0,Zazrak,2,https://www.youtube.com/watch?v=0-WJ8DMTV4I,2055
A NYÁK napja,2024.05.05,wow,sfn,Lanre,2,Hurka,1,https://www.youtube.com/watch?v=0-WJ8DMTV4I,3346
A NYÁK napja,2024.05.05,wow,sfn,Zazrak,2,Bárdió,1,https://www.youtube.com/watch?v=0-WJ8DMTV4I,3757
A NYÁK napja,2024.05.05,wow,brz,Hurka,1,Bárdió,2,https://www.youtube.com/watch?v=0-WJ8DMTV4I,4277
A NYÁK napja,2024.05.05,wow,fnl,Lanre,2,Zazrak,0,https://www.youtube.com/watch?v=0-WJ8DMTV4I,4 685
My Name is WOR,2024.07.07.,tetris,sfn,Bárdió,2,Kittisaurus,1,https://www.youtube.com/watch?v=2Mf97wBrZMw,595
My Name is WOR,2024.07.07.,tetris,sfn,Zazrak,2,Lanre,0,https://www.youtube.com/watch?v=2Mf97wBrZMw,1018
My Name is WOR,2024.07.07.,tetris,brz,Kittisaurus,1,Lanre,2,https://www.youtube.com/watch?v=2Mf97wBrZMw,1260
My Name is WOR,2024.07.07.,tetris,fnl,Bárdió,0,Zazrak,3,https://www.youtube.com/watch?v=2Mf97wBrZMw,1658
My Name is WOR,2024.07.07.,wow,sfn,Lanre,2,Atyus,0,https://www.youtube.com/watch?v=2Mf97wBrZMw,2730
My Name is WOR,2024.07.07.,wow,sfn,Zazrak,1,Empe,2,https://www.youtube.com/watch?v=2Mf97wBrZMw,3050
My Name is WOR,2024.07.07.,wow,brz,Atyus,2,Zazrak,1,https://www.youtube.com/watch?v=2Mf97wBrZMw,3455
My Name is WOR,2024.07.07.,wow,fnl,Lanre,3,Empe,0,https://www.youtube.com/watch?v=2Mf97wBrZMw,3876
Kill Ants Now!,2024.09.08.,tetris,sfn,Zazrak,2,Bárdió,0,https://www.youtube.com/watch?v=JwUldaDzybI,103
Kill Ants Now!,2024.09.08.,tetris,sfn,Lanre,0,Daniörmester,2,https://www.youtube.com/watch?v=JwUldaDzybI,408
Kill Ants Now!,2024.09.08.,tetris,brz,Bárdió,2,Lanre,0,https://www.youtube.com/watch?v=JwUldaDzybI,768
Kill Ants Now!,2024.09.08.,tetris,fnl,Zazrak,3,Daniörmester,0,https://www.youtube.com/watch?v=JwUldaDzybI,1080
Kill Ants Now!,2024.09.08.,wow,sfn,Lanre,1,Hurka,2,https://www.youtube.com/watch?v=JwUldaDzybI,2357
Kill Ants Now!,2024.09.08.,wow,sfn,Atyus,1,Zazrak,2,https://www.youtube.com/watch?v=JwUldaDzybI,2715
Kill Ants Now!,2024.09.08.,wow,brz,Lanre,1,Atyus,2,https://www.youtube.com/watch?v=JwUldaDzybI,3120
Kill Ants Now!,2024.09.08.,wow,fnl,Hurka,1,Zazrak,3,https://www.youtube.com/watch?v=JwUldaDzybI,3558
Joystick Day,2024.11.24.,tetris,sfn,Zazrak,2,Lanre,0,https://www.youtube.com/watch?v=VvvY3BNHMok,404
Joystick Day,2024.11.24.,tetris,sfn,Eni,2,Rokakoma,0,https://www.youtube.com/watch?v=VvvY3BNHMok,780
Joystick Day,2024.11.24.,tetris,brz,Lanre,2,Rokakoma,1,https://www.youtube.com/watch?v=VvvY3BNHMok,1135
Joystick Day,2024.11.24.,tetris,fnl,Zazrak,0,Eni,3,https://www.youtube.com/watch?v=VvvY3BNHMok,1667
Joystick Day,2024.11.24.,wow,sfn,Lanre,2,Zazrak,0,https://www.youtube.com/watch?v=VvvY3BNHMok,2803
Joystick Day,2024.11.24.,wow,sfn,Dester,2,Bucky,0,https://www.youtube.com/watch?v=VvvY3BNHMok,3066
Joystick Day,2024.11.24.,wow,brz,Zazrak,2,Bucky,1,https://www.youtube.com/watch?v=VvvY3BNHMok,3267
Joystick Day,2024.11.24.,wow,fnl,Lanre,3,Dester,1,https://www.youtube.com/watch?v=VvvY3BNHMok,3802
Viva la Resolution!,2025.03.15.,tetris,sfn,Zazrak,2,Lanre,0,https://www.youtube.com/watch?v=kfq1iXtINzs,737
Viva la Resolution!,2025.03.15.,tetris,sfn,Bucky,2,Dave,0,https://www.youtube.com/watch?v=kfq1iXtINzs,932
Viva la Resolution!,2025.03.15.,tetris,brz,Lanre,1,Dave,2,https://www.youtube.com/watch?v=kfq1iXtINzs,1273
Viva la Resolution!,2025.03.15.,tetris,fnl,Zazrak,2,Bucky,3,https://www.youtube.com/watch?v=kfq1iXtINzs,1775
Viva la Resolution!,2025.03.15.,wow,sfn,Lanre,2,Zazrak,0,https://www.youtube.com/watch?v=kfq1iXtINzs,3237
Viva la Resolution!,2025.03.15.,wow,sfn,Atyus,0,Dave,2,https://www.youtube.com/watch?v=kfq1iXtINzs,3495
Viva la Resolution!,2025.03.15.,wow,brz,Zazrak,1,Atyus,2,https://www.youtube.com/watch?v=kfq1iXtINzs,3812
Viva la Resolution!,2025.03.15.,wow,fnl,Lanre,3,Dave,0,https://www.youtube.com/watch?v=kfq1iXtINzs,4154
BRSZK 10,2025.06.07.,tetris,sfn,Zazrak,1,Lanre,2,https://www.youtube.com/watch?v=NOpy3bH6dOw,399
BRSZK 10,2025.06.07.,tetris,sfn,Kittisaurus,0,Eni,2,https://www.youtube.com/watch?v=NOpy3bH6dOw,776
BRSZK 10,2025.06.07.,tetris,brz,Zazrak,2,Kittisaurus,0,https://www.youtube.com/watch?v=NOpy3bH6dOw,1043
BRSZK 10,2025.06.07.,tetris,fnl,Lanre,2,Eni,3,https://www.youtube.com/watch?v=NOpy3bH6dOw,1366
BRSZK 10,2025.06.07.,wow,sfn,Lanre,2,Wawa,0,https://www.youtube.com/watch?v=NOpy3bH6dOw,2772
BRSZK 10,2025.06.07.,wow,sfn,Hurka,0,Csali,2,https://www.youtube.com/watch?v=NOpy3bH6dOw,3075
BRSZK 10,2025.06.07.,wow,brz,Wawa,0,Hurka,2,https://www.youtube.com/watch?v=NOpy3bH6dOw,3395
BRSZK 10,2025.06.07.,wow,fnl,Lanre,3,Csali,0,https://www.youtube.com/watch?v=NOpy3bH6dOw,3665
Hello IX/2,2025.08.10.,tetris,sfn,Bárdió,2,Hurka,0,https://www.youtube.com/watch?v=1cwfqxS1j8Q,365
Hello IX/2,2025.08.10.,tetris,sfn,Daniörmester,0,Zazrak,2,https://www.youtube.com/watch?v=1cwfqxS1j8Q,616
Hello IX/2,2025.08.10.,tetris,brz,Hurka,0,Daniörmester,2,https://www.youtube.com/watch?v=1cwfqxS1j8Q,866
Hello IX/2,2025.08.10.,tetris,fnl,Bárdió,1,Zazrak,3,https://www.youtube.com/watch?v=1cwfqxS1j8Q,1152
Hello IX/2,2025.08.10.,wow,sfn,Lanre,2,Kiri,1,https://www.youtube.com/watch?v=1cwfqxS1j8Q,2485
Hello IX/2,2025.08.10.,wow,sfn,Zazrak,2,Avanindra,1,https://www.youtube.com/watch?v=1cwfqxS1j8Q,2856
Hello IX/2,2025.08.10.,wow,brz,Kiri,2,Avanindra,1,https://www.youtube.com/watch?v=1cwfqxS1j8Q,3218
Hello IX/2,2025.08.10.,wow,fnl,Lanre,3,Zazrak,0,https://www.youtube.com/watch?v=1cwfqxS1j8Q,3566
Fail Kill Ants,2025.09.28.,tetris,sfn,Eni,0,Bucky,2,https://www.youtube.com/watch?v=1xqQ0UvlB4A,666
Fail Kill Ants,2025.09.28.,tetris,sfn,Bárdió,0,Zazrak,2,https://www.youtube.com/watch?v=1xqQ0UvlB4A,986
Fail Kill Ants,2025.09.28.,tetris,brz,Eni,2,Bárdió,1,https://www.youtube.com/watch?v=1xqQ0UvlB4A,1283
Fail Kill Ants,2025.09.28.,tetris,fnl,Bucky,3,Zazrak,1,https://www.youtube.com/watch?v=1xqQ0UvlB4A,1850
Fail Kill Ants,2025.09.28.,wow,sfn,Lanre,2,Boby,0,https://www.youtube.com/watch?v=1xqQ0UvlB4A,2970
Fail Kill Ants,2025.09.28.,wow,sfn,Avanindra,2,Hurka,1,https://www.youtube.com/watch?v=1xqQ0UvlB4A,3376
Fail Kill Ants,2025.09.28.,wow,brz,Boby,2,Hurka,0,https://www.youtube.com/watch?v=1xqQ0UvlB4A,3740
Fail Kill Ants,2025.09.28.,wow,fnl,Lanre,3,Avanindra,1,https://www.youtube.com/watch?v=1xqQ0UvlB4A,4192
Joystick Day!,2025.11.29,tetris,sfn,Lanre,2,Kittisaurus,0,https://www.youtube.com/watch?v=yUUcdabmoW4,448
Joystick Day!,2025.11.29,tetris,sfn,Bucky,2,Eni,1,https://www.youtube.com/watch?v=yUUcdabmoW4,759
Joystick Day!,2025.11.29,tetris,brz,Kittisaurus,2,Eni,1,https://www.youtube.com/watch?v=yUUcdabmoW4,1321
Joystick Day!,2025.11.29,tetris,fnl,Lanre,0,Bucky,3,https://www.youtube.com/watch?v=yUUcdabmoW4,1871
Joystick Day!,2025.11.29,wow,sfn,Lanre,2,Wawa,0,https://www.youtube.com/watch?v=yUUcdabmoW4,3235
Joystick Day!,2025.11.29,wow,sfn,Hurka,1,CsabaKiraly,2,https://www.youtube.com/watch?v=yUUcdabmoW4,3546
Joystick Day!,2025.11.29,wow,brz,Wawa,1,Hurka,2,https://www.youtube.com/watch?v=yUUcdabmoW4,3883
Joystick Day!,2025.11.29,wow,fnl,Lanre,3,CsabaKiraly,0,https://www.youtube.com/watch?v=yUUcdabmoW4,4322